"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"174","174","Buddy Hield","SG","30","IND","8","8","239","51","110",".464","32","75",".427","19","35",".543",".609","8","9",".889","10","33","43","33","5","2","14","17","142"
"175","175","Haywood Highsmith","SF","26","MIA","4","0","21","1","5",".200","0","3",".000","1","2",".500",".200","0","0","","0","4","4","0","3","0","2","1","2"
"176","176","George Hill","PG","36","MIL","7","0","153","13","29",".448","5","17",".294","8","12",".667",".534","12","16",".750","3","12","15","19","1","0","3","13","43"
"177","177","Malcolm Hill","SF","27","CHI","2","0","1","0","0","","0","0","","0","0","","","0","0","","0","1","1","0","0","0","0","0","0"
"178","178","Aaron Holiday","PG","26","ATL","8","0","149","17","36",".472","6","9",".667","11","27",".407",".556","6","7",".857","4","5","9","13","6","3","7","12","46"
"179","179","Jrue Holiday","PG","32","MIL","7","7","240","52","120",".433","18","47",".383","34","73",".466",".508","19","23",".826","7","30","37","53","11","6","18","15","141"
"180","180","Justin Holiday","SG","33","ATL","8","0","155","18","48",".375","10","32",".313","8","16",".500",".479","0","0","","0","6","6","14","2","3","1","18","46"
"181","181","Richaun Holmes","PF","29","SAC","7","0","96","13","18",".722","0","0","","13","18",".722",".722","4","6",".667","6","14","20","0","2","1","5","14","30"
"182","182","Al Horford","C","36","BOS","6","6","187","20","44",".455","11","29",".379","9","15",".600",".580","1","1","1.000","7","30","37","10","1","4","6","14","52"
"183","183","Talen Horton-Tucker","SG","22","UTA","9","0","148","25","62",".403","5","27",".185","20","35",".571",".444","8","11",".727","6","21","27","14","8","3","9","16","63"
"184","184","Danuel House Jr.","SF","29","PHI","9","0","148","10","27",".370","5","16",".313","5","11",".455",".463","8","11",".727","4","14","18","9","3","1","6","12","33"
"185","185","Caleb Houstan","SF","20","ORL","5","0","97","5","19",".263","3","13",".231","2","6",".333",".342","2","2","1.000","0","10","10","3","1","1","3","11","15"
"186","186","Trevor Hudgins","PG","23","HOU","1","0","4","1","1","1.000","1","1","1.000","0","0","","1.500","0","0","","0","0","0","0","0","0","0","0","3"
"187","187","Kevin Huerter","SG","24","SAC","7","7","223","44","87",".506","29","56",".518","15","31",".484",".672","15","19",".789","0","20","20","27","4","1","7","16","132"
"188","188","De'Andre Hunter","SF","25","ATL","8","8","229","48","99",".485","14","32",".438","34","67",".507",".556","9","15",".600","4","24","28","10","3","1","8","31","119"
"189","189","Bones Hyland","PG","22","DEN","6","0","109","22","63",".349","14","32",".438","8","31",".258",".460","14","19",".737","0","6","6","22","1","2","10","12","72"
"190","190","Serge Ibaka","PF","33","MIL","6","0","50","6","13",".462","3","5",".600","3","8",".375",".577","1","2",".500","3","9","12","0","0","3","4","9","16"
"191","191","Brandon Ingram","SF","25","NOP","3","3","79","22","38",".579","4","7",".571","18","31",".581",".632","18","22",".818","0","17","17","12","4","1","10","3","66"
"192","192","Kyrie Irving","PG","30","BRK","8","8","309","78","172",".453","21","75",".280","57","97",".588",".515","38","41",".927","6","35","41","41","11","9","19","24","215"
"193","193","Jaden Ivey","SG","20","DET","8","8","249","44","100",".440","11","33",".333","33","67",".493",".495","18","26",".692","8","24","32","27","13","1","18","24","117"
"194","194","Isaiah Jackson","PF","21","IND","8","3","148","26","46",".565","0","1",".000","26","45",".578",".565","14","22",".636","13","28","41","11","5","11","6","22","66"
"195","195","Justin Jackson","SF","27","BOS","2","0","9","2","4",".500","2","3",".667","0","1",".000",".750","0","0","","0","0","0","0","0","0","0","1","6"
"196","196","Reggie Jackson","PG","32","LAC","8","8","232","29","83",".349","8","35",".229","21","48",".438",".398","10","11",".909","3","14","17","33","6","1","13","9","76"
"197","197","LeBron James","PF","38","LAL","7","7","257","68","155",".439","12","53",".226","56","102",".549",".477","27","36",".750","13","50","63","52","9","6","27","15","175"
"198","198","Ty Jerome","SG","25","GSW","5","0","63","8","14",".571","4","8",".500","4","6",".667",".714","6","6","1.000","0","2","2","6","1","1","1","6","26"
"199","199","Isaiah Joe","SG","23","OKC","6","0","18","5","8",".625","3","6",".500","2","2","1.000",".813","4","4","1.000","0","3","3","4","1","0","0","2","17"
"200","200","Cameron Johnson","PF","26","PHO","7","7","197","37","81",".457","22","50",".440","15","31",".484",".593","8","11",".727","5","22","27","13","9","3","2","13","104"
"201","201","Jalen Johnson","SF","21","ATL","8","0","108","12","27",".444","2","11",".182","10","16",".625",".481","7","10",".700","4","18","22","5","2","1","2","14","33"
"202","202","James Johnson","PF","35","IND","3","0","44","5","12",".417","1","5",".200","4","7",".571",".458","0","0","","0","7","7","4","1","2","0","10","11"
"203","203","Keldon Johnson","SF","23","SAS","7","7","235","56","123",".455","27","62",".435","29","61",".475",".565","28","35",".800","4","34","38","29","9","1","20","12","167"
"204","204","Keon Johnson","SG","20","POR","4","0","52","9","20",".450","4","12",".333","5","8",".625",".550","1","2",".500","1","10","11","6","2","2","6","4","23"
"205","205","Nikola Jokić","C","27","DEN","7","7","230","51","87",".586","4","19",".211","47","68",".691",".609","41","47",".872","15","63","78","59","9","4","18","19","147"
"206","206","Damian Jones","C","27","LAL","5","1","51","5","13",".385","0","1",".000","5","12",".417",".385","3","6",".500","6","9","15","3","0","3","3","7","13"
"207","207","Derrick Jones Jr.","SF","25","CHI","7","0","102","10","27",".370","3","7",".429","7","20",".350",".426","21","23",".913","11","10","21","6","3","5","1","8","44"
"208","208","Herbert Jones","SF","24","NOP","3","3","95","7","19",".368","1","6",".167","6","13",".462",".395","7","9",".778","5","5","10","6","0","4","3","13","22"
"209","209","Kai Jones","C","22","CHO","4","0","17","3","5",".600","1","3",".333","2","2","1.000",".700","2","4",".500","0","0","0","2","0","2","0","0","9"
"210","210","Tre Jones","PG","23","SAS","8","8","237","31","83",".373","7","18",".389","24","65",".369",".416","29","32",".906","8","28","36","44","10","2","18","17","98"
"211","211","Tyus Jones","PG","26","MEM","8","1","203","39","88",".443","14","38",".368","25","50",".500",".523","3","8",".375","3","13","16","35","6","1","11","6","95"
"212","212","DeAndre Jordan","C","34","DEN","6","0","73","13","16",".813","1","1","1.000","12","15",".800",".844","5","12",".417","9","24","33","3","1","4","7","11","32"
"213","213","Cory Joseph","PG","31","DET","8","1","121","9","23",".391","5","11",".455","4","12",".333",".500","5","6",".833","2","8","10","23","2","1","4","12","28"
"214","214","Nikola Jović","PF","19","MIA","3","0","22","3","7",".429","0","3",".000","3","4",".750",".429","0","0","","1","1","2","1","2","0","1","5","6"
"215","215","Frank Kaminsky","C","29","ATL","3","0","11","0","1",".000","0","1",".000","0","0","",".000","4","4","1.000","0","3","3","2","0","0","1","2","4"
"216","216","Trevor Keels","SG","19","NYK","1","0","1","0","1",".000","0","1",".000","0","0","",".000","0","0","","0","1","1","0","0","0","0","0","0"
"217","217","Luke Kennard","SG","26","LAC","8","2","196","27","55",".491","14","30",".467","13","25",".520",".618","2","2","1.000","4","28","32","5","3","0","11","13","70"
"218","218","Walker Kessler","C","21","UTA","6","0","87","10","16",".625","0","0","","10","16",".625",".625","9","15",".600","11","15","26","6","2","8","5","12","29"
"219","219","Braxton Key","SF","25","DET","2","0","7","1","1","1.000","0","0","","1","1","1.000","1.000","2","2","1.000","0","1","1","0","0","0","0","0","4"
"220","220","Maxi Kleber","C","31","DAL","7","0","187","11","27",".407","6","19",".316","5","8",".625",".519","9","12",".750","7","24","31","5","4","7","5","13","37"
"221","221","Nathan Knight","PF","25","MIN","2","0","4","0","0","","0","0","","0","0","","","0","0","","0","2","2","0","0","0","0","1","0"
"222","222","Kevin Knox","SF","23","DET","6","0","41","5","20",".250","1","12",".083","4","8",".500",".275","0","0","","1","5","6","0","1","0","2","7","11"
"223","223","Christian Koloko","C","22","TOR","8","3","131","10","22",".455","0","0","","10","22",".455",".455","5","11",".455","10","19","29","3","3","8","4","23","25"
"224","224","John Konchar","SG","26","MEM","7","4","186","21","45",".467","12","30",".400","9","15",".600",".600","1","2",".500","10","26","36","7","12","2","4","12","55"
"225","225","Furkan Korkmaz","SG","25","PHI","2","0","4","0","1",".000","0","1",".000","0","0","",".000","0","0","","0","1","1","1","0","0","0","0","0"
"226","226","Luke Kornet","C","27","BOS","5","0","59","4","7",".571","1","2",".500","3","5",".600",".643","1","2",".500","5","8","13","7","0","3","4","6","10"
"227","227","Vit Krejci","PG","22","ATL","4","0","11","2","3",".667","1","2",".500","1","1","1.000",".833","0","0","","0","1","1","1","0","0","0","2","5"
"228","228","Jonathan Kuminga","PF","20","GSW","6","0","65","5","15",".333","0","4",".000","5","11",".455",".333","6","6","1.000","4","7","11","3","1","1","7","10","16"
"229","229","Kyle Kuzma","PF","27","WAS","8","8","263","50","109",".459","15","43",".349","35","66",".530",".528","23","29",".793","6","53","59","18","2","6","14","27","138"
"230","230","Anthony Lamb","SF","25","GSW","1","0","9","1","1","1.000","0","0","","1","1","1.000","1.000","0","0","","0","2","2","1","0","0","0","2","2"
"231","231","Jock Landale","C","27","PHO","7","0","121","26","54",".481","2","19",".105","24","35",".686",".500","13","16",".813","12","21","33","4","1","6","5","20","67"
"232","232","Romeo Langford","SG","23","SAS","5","2","79","9","22",".409","1","5",".200","8","17",".471",".432","1","2",".500","7","4","11","2","2","1","3","6","20"
"233","233","Jake LaRavia","PF","21","MEM","5","0","91","12","23",".522","9","15",".600","3","8",".375",".717","3","3","1.000","6","14","20","2","2","2","2","17","36"
"234","234","Zach LaVine","SG","27","CHI","6","6","198","42","101",".416","20","46",".435","22","55",".400",".515","25","29",".862","1","19","20","25","6","1","11","9","129"
"235","235","Damion Lee","SG","30","PHO","7","0","116","10","30",".333","7","19",".368","3","11",".273",".450","7","8",".875","3","13","16","8","3","0","2","10","34"
"236","236","Alex Len","C","29","SAC","3","0","8","0","1",".000","0","0","","0","1",".000",".000","1","2",".500","0","2","2","0","0","0","0","2","1"
"237","237","Kawhi Leonard","SF","31","LAC","2","0","42","8","18",".444","1","6",".167","7","12",".583",".472","8","9",".889","4","9","13","4","3","0","4","5","25"
"238","238","Caris LeVert","SG","28","CLE","7","7","256","29","87",".333","19","40",".475","10","47",".213",".443","26","33",".788","5","24","29","44","7","1","16","21","103"
"239","239","Damian Lillard","PG","32","POR","5","5","175","48","97",".495","20","51",".392","28","46",".609",".598","39","42",".929","6","18","24","23","4","2","19","7","155"
"240","240","Nassir Little","PF","22","POR","7","0","100","14","30",".467","6","16",".375","8","14",".571",".567","1","5",".200","2","13","15","6","3","0","3","3","35"
"241","241","Isaiah Livers","PF","24","DET","7","0","126","12","32",".375","10","27",".370","2","5",".400",".531","3","3","1.000","5","11","16","5","3","1","5","17","37"
"242","242","Kenneth Lofton Jr.","PF","20","MEM","3","0","14","4","9",".444","0","1",".000","4","8",".500",".444","1","3",".333","1","1","2","1","0","0","0","3","9"
"243","243","Kevon Looney","C","26","GSW","8","8","183","20","32",".625","0","0","","20","32",".625",".625","6","11",".545","18","30","48","27","2","2","2","21","46"
"244","244","Brook Lopez","C","34","MIL","7","7","216","40","82",".488","15","44",".341","25","38",".658",".579","8","9",".889","15","33","48","8","5","21","8","18","103"
"245","245","Robin Lopez","C","34","CLE","4","0","44","11","14",".786","0","0","","11","14",".786",".786","0","1",".000","5","4","9","1","0","2","2","3","22"
"246","246","Kevin Love","PF","34","CLE","7","0","135","25","59",".424","17","41",".415","8","18",".444",".568","11","13",".846","3","48","51","11","0","1","6","9","78"
"247","247","Kyle Lowry","PG","36","MIA","9","9","312","36","89",".404","20","59",".339","16","30",".533",".517","30","34",".882","5","31","36","53","13","3","18","26","122"
"248","248","Trey Lyles","PF","27","SAC","5","0","71","9","25",".360","6","19",".316","3","6",".500",".480","3","6",".500","3","15","18","5","4","3","5","7","27"
"249","249","Théo Maledon","PG","21","CHO","7","0","99","13","26",".500","5","13",".385","8","13",".615",".596","5","6",".833","1","7","8","20","4","2","9","4","36"
"250","250","Sandro Mamukelashvili","C","23","MIL","1","0","2","0","0","","0","0","","0","0","","","0","0","","0","0","0","0","0","0","1","0","0"
"251","251","Terance Mann","SG","26","LAC","8","3","128","19","30",".633","3","9",".333","16","21",".762",".683","3","7",".429","6","17","23","6","2","3","8","10","44"
"252","252","Tre Mann","PG","21","OKC","7","4","190","35","87",".402","12","41",".293","23","46",".500",".471","9","13",".692","7","17","24","22","7","0","5","16","91"
"253","253","Boban Marjanović","C","34","HOU","3","0","9","1","2",".500","0","0","","1","2",".500",".500","2","3",".667","1","2","3","1","0","0","1","0","4"
"254","254","Lauri Markkanen","SF","25","UTA","9","9","305","75","146",".514","17","58",".293","58","88",".659",".572","28","34",".824","20","61","81","23","6","8","18","17","195"
