"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"433","433","Mark Williams","C","21","CHO","3","0","13","4","7",".571","0","0","","4","7",".571",".571","3","3","1.000","4","4","8","0","0","0","2","3","11"
"434","434","Patrick Williams","PF","21","CHI","9","9","212","30","61",".492","8","23",".348","22","38",".579",".557","10","11",".909","7","19","26","5","9","6","13","12","78"
"435","435","Vince Williams Jr.","SG","22","MEM","2","0","11","1","5",".200","0","4",".000","1","1","1.000",".200","0","0","","1","2","3","1","1","0","0","2","2"
"436","436","Zion Williamson","PF","22","NOP","5","5","158","48","95",".505","0","1",".000","48","94",".511",".505","18","26",".692","12","25","37","21","7","2","13","12","114"
"437","437","Justise Winslow","SF","26","POR","6","0","148","15","42",".357","3","9",".333","12","33",".364",".393","7","10",".700","12","18","30","18","10","4","7","11","40"
"438","438","James Wiseman","C","21","GSW","8","0","112","27","44",".614","0","0","","27","44",".614",".614","12","19",".632","8","23","31","6","0","4","6","20","66"
"439","439","Christian Wood","PF","27","DAL","7","0","179","43","73",".589","11","23",".478","32","50",".640",".664","24","37",".649","11","48","59","5","1","4","17","19","121"
"440","440","Delon Wright","PG","30","WAS","4","0","91","10","24",".417","3","12",".250","7","12",".583",".479","3","5",".600","4","6","10","13","11","4","4","5","26"
"441","441","McKinley Wright IV","PG","24","DAL","1","0","5","1","4",".250","0","1",".000","1","3",".333",".250","0","0","","1","1","2","2","1","0","0","0","2"
"442","442","Thaddeus Young","PF","34","TOR","5","0","40","5","12",".417","1","5",".200","4","7",".571",".458","1","2",".500","2","5","7","3","5","0","1","4","12"
"443","443","Trae Young","PG","24","ATL","8","8","273","69","179",".385","20","63",".317","49","116",".422",".441","62","68",".912","7","22","29","75","4","1","25","13","220"
"444","444","Ivica Zubac","C","25","LAC","8","8","230","30","51",".588","0","1",".000","30","50",".600",".588","13","22",".591","21","68","89","11","2","21","17","23","73"
